EWN_OFFSET;POS;SAMA_Lemma;Pos_Sentiment_score;Neg_Sentiment_Score;Confidence;ANGER;DISGUST;FEAR;JOY;SADNESS;SURPRISE
01891773;a;mutawar~im;0;0.75;100;0.03248046;0.03770580;0.03805105;0.06150831;0.13877708;0.56747273
01343200;a;mal~;0.1875;0.125;50.0;0.03957563;0.06636454;0.02915381;0.09618277;0.02596746;0.33572869
00295924;a;EaZomiy~;0.0;0.0;33.0;0.10999348;0.09113820;0.11384543;0.02221406;0.10135495;0.17797737
00015589;a;Tawiyl;0.058746337890625;0.095794677734375;50.0;0.09175577;0.11323845;0.11659846;0.13166119;0.12204717;0.14463484
01673061;a;munotadaY;0.32666015625;0.083251953125;33.0;0.14666126;0.15346832;0.08557051;0.11664202;0.08729948;0.12320388
02235740;a;tazaHoluq;0;0;33;0.22832864;0.00000000;0.00000000;0.45325356;0.31841780;0.00000000
02102178;a;SurAxiy~;0.34375;0.34375;50.0;0.02449899;0.07346445;0.00484705;0.32661166;0.04761033;0.07429729
01890752;a;mufAxir;0.375;0.1875;50.0;0.04763371;0.10155663;0.06303892;0.16469313;0.07414973;0.23433379
01361863;a;kamid;0.03125;0.5625;50.0;0.11551570;0.13420942;0.05232499;0.06687978;0.21938213;0.15556738
02800689;a;mukaw~ar;0.0625;0.0;100.0;0.01825412;0.01962832;0.04731200;0.78695985;0.03007124;0.03651778
00152896;a;xATib;0.5;0;50;0.20943817;0.19240942;0.05780307;0.14332500;0.09406478;0.14674086
00029933;a;TAmiE;0;0;100;0.27128431;0.07337115;0.04963580;0.10732053;0.09735072;0.19973566
00587890;a;<inokAriy~;0.00390625;0.4619140625;50.0;0.13319518;0.13605732;0.11716761;0.09265537;0.10685566;0.12567550
01014953;a;wasiyT;0.0;0.125;50.0;0.07897756;0.10650113;0.17147053;0.13392212;0.10886624;0.14365818
02097480;a;jA*ib;0.46875;0.0;50.0;0.05439544;0.06910322;0.08772431;0.16254998;0.06855202;0.20544930
02269142;a;Sifor;0.03125;0.1875;100.0;0.09705363;0.32456613;0.00554707;0.16377463;0.25101668;0.06165382
01008745;a;lAnihA}iy~;0.09375;0.125;100.0;0.06381480;0.04259649;0.03262831;0.18669712;0.05340783;0.27193608
00586183;a;tadomiyriy~;0;0.625;100;0.03522829;0.03739053;0.53389812;0.02914534;0.16577756;0.08046394
01927654;a;EunoSuriy~;0.0;0.359375;68.75;0.09661471;0.10289219;0.02334332;0.30172209;0.10308508;0.06788563
01756166;a;mu$ax~iS;0.125;0;50;0.14924528;0.16214764;0.05547593;0.15189866;0.11128017;0.11090113
02522267;a;TawoEiy~;0.1875;0.125;100.0;0.11651362;0.12779821;0.26290817;0.07444101;0.11102251;0.07884970
02531919;a;dafo|n;0.192626953125;0.39892578125;100.0;0.06020724;0.11476847;0.18885017;0.10362041;0.09322150;0.15652339
02217452;a;{izodiwAjiy~;0.25;0.125;50.0;0.08608610;0.09830079;0.04580541;0.18188117;0.06311334;0.15853713
02960338;a;danimArokiy~;0;0;50;0.07981224;0.02719095;0.12122114;0.25951015;0.07839439;0.19040780
01731786;a;mawojuwd;0.0625;0.07421875;33.0;0.09955632;0.19502499;0.07691272;0.11675282;0.11657257;0.08673788
02370083;a;EabiyT;0.32177734375;0.1761474609375;50.0;0.08790525;0.10033931;0.15076043;0.14089208;0.10745592;0.17196578
01733082;a;musotaEoliy;0.25390625;0.015625;50.0;0.06913663;0.09569621;0.12273945;0.17097703;0.09963946;0.17786194
00920260;a;maxomuwr;0.0;0.0;100.0;0.20434115;0.11820316;0.06611835;0.08347230;0.09784107;0.10149935
02937876;a;riyADiy~;0.2109375;0.017578125;62.5;0.00947494;0.14409792;0.10280262;0.27964545;0.09766319;0.20589612
01695749;a;muTaE~am;0;0;100;0.00461675;0.11160491;0.14241244;0.36937129;0.28461539;0.00000000
00990855;a;fAriE;0.0478515625;0.05859375;50.0;0.01486104;0.08755196;0.03535785;0.15681085;0.02917851;0.20088663
02179968;a;mut~aqiy;0.4375;0.0;50.0;0.07748934;0.10083713;0.02809477;0.09857558;0.09612525;0.20360907
00408284;a;muHAyid;0.17578125;0.291015625;100.0;0.07733662;0.16737901;0.06777062;0.13747567;0.08932540;0.18837740
02026629;a;mufolis;0.25;0.5;50.0;0.14278180;0.03276694;0.20766725;0.12414011;0.39652964;0.03328540
