EWN_OFFSET;POS;SAMA_Lemma;Pos_Sentiment_score;Neg_Sentiment_Score;Confidence;ANGER;DISGUST;FEAR;JOY;SADNESS;SURPRISE
00357139;r;mutaEAliy;0.0625;0.0;50.0;0.00901836;0.02414723;0.03884147;0.43499121;0.00338732;0.20451376
00505226;r;muHA*iy;0.09375;0.0625;33.0;0.06375288;0.20711009;0.06420160;0.17942009;0.08265577;0.11921475
00038625;r;sayor;0.125;0.25;33;0.08437736;0.13828686;0.09105976;0.13029298;0.07208651;0.21296919
00021212;r;limAm;0.0;0.0625;50.0;0.06318413;0.14890861;0.11917907;0.09387110;0.11002492;0.18102448
00039318;r;munobaTiH;0.25;0.0;50.0;0.13051943;0.15657451;0.15998674;0.08136317;0.10288601;0.10534184
00336293;r;buhotAn;0.125;0.0;100.0;0.17024357;0.17182889;0.11001415;0.05060465;0.08823294;0.07866761
00031899;r;riyAl;0.25;0.25;100;0.06065043;0.08200999;0.06878399;0.22890416;0.06777259;0.26588099
00285854;r;SAfiy;0.1875;0.0;33.0;0.16713254;0.31029180;0.10802162;0.18001343;0.02479611;0.06861391
00067045;r;muEaj~al;0;0;100;0.11678153;0.10454989;0.08603809;0.15681175;0.10117191;0.16695735
00009373;r;TAhir;0.1875;0.1875;33.0;0.05144902;0.07021421;0.02353179;0.26432776;0.07762168;0.17236613
00243938;r;yamonap;0;0;100;0.00000000;0.00000000;0.00000000;1.00000000;0.00000000;0.00000000
00353485;r;Sudofap;0.03125;0.0;50.0;0.07254183;0.14564241;0.08549987;0.08159336;0.12978483;0.10182797
00432314;r;dafo|n;0.25;0;100;0.03299575;0.17984928;0.07237011;0.23015844;0.11470371;0.11283335
00229568;r;hAdi};0;0.125;33;0.08133901;0.11342783;0.04374141;0.11269884;0.12682092;0.19761213
00118032;r;Hiyna*Aka;0.0;0.0;50.0;0.13233601;0.12735281;0.09117289;0.12058500;0.10700642;0.15778161
